timeframe,setup,rr,metric,bucket,trades,wins,losses,win_rate,win_rate_pct
1d,DL,1.0,slope_strength,ALL,22,8,14,0.36363636363636365,"36,4%"
1d,DL,1.0,slope_strength,rest70,15,7,8,0.4666666666666667,"46,7%"
1d,DL,1.0,slope_strength,top30,7,1,6,0.14285714285714285,"14,3%"
1d,DL,1.5,slope_strength,ALL,22,7,15,0.3181818181818182,"31,8%"
1d,DL,1.5,slope_strength,rest70,15,6,9,0.4,40%
1d,DL,1.5,slope_strength,top30,7,1,6,0.14285714285714285,"14,3%"
1d,DL,2.0,slope_strength,ALL,22,6,16,0.2727272727272727,"27,3%"
1d,DL,2.0,slope_strength,rest70,15,5,10,0.3333333333333333,"33,3%"
1d,DL,2.0,slope_strength,top30,7,1,6,0.14285714285714285,"14,3%"
1d,IB,1.0,slope_strength,ALL,25,12,13,0.48,48%
1d,IB,1.0,slope_strength,rest70,17,8,9,0.47058823529411764,"47,1%"
1d,IB,1.0,slope_strength,top30,8,4,4,0.5,50%
1d,IB,1.5,slope_strength,ALL,25,9,16,0.36,36%
1d,IB,1.5,slope_strength,rest70,17,6,11,0.35294117647058826,"35,3%"
1d,IB,1.5,slope_strength,top30,8,3,5,0.375,"37,5%"
1d,IB,2.0,slope_strength,ALL,25,6,19,0.24,24%
1d,IB,2.0,slope_strength,rest70,17,3,14,0.17647058823529413,"17,6%"
1d,IB,2.0,slope_strength,top30,8,3,5,0.375,"37,5%"
1d,PFR,1.0,slope_strength,ALL,16,8,8,0.5,50%
1d,PFR,1.0,slope_strength,rest70,11,7,4,0.6363636363636364,"63,6%"
1d,PFR,1.0,slope_strength,top30,5,1,4,0.2,20%
1d,PFR,1.5,slope_strength,ALL,16,7,9,0.4375,"43,8%"
1d,PFR,1.5,slope_strength,rest70,11,6,5,0.5454545454545454,"54,5%"
1d,PFR,1.5,slope_strength,top30,5,1,4,0.2,20%
1d,PFR,2.0,slope_strength,ALL,16,6,10,0.375,"37,5%"
1d,PFR,2.0,slope_strength,rest70,11,5,6,0.45454545454545453,"45,5%"
1d,PFR,2.0,slope_strength,top30,5,1,4,0.2,20%
1h,DL,1.0,slope_strength,ALL,634,309,323,0.4889240506329114,"48,9%"
1h,DL,1.0,slope_strength,rest70,443,215,226,0.4875283446712018,"48,8%"
1h,DL,1.0,slope_strength,top30,191,94,97,0.49214659685863876,"49,2%"
1h,DL,1.5,slope_strength,ALL,634,245,380,0.392,"39,2%"
1h,DL,1.5,slope_strength,rest70,443,170,266,0.38990825688073394,39%
1h,DL,1.5,slope_strength,top30,191,75,114,0.3968253968253968,"39,7%"
1h,DL,2.0,slope_strength,ALL,634,203,419,0.32636655948553056,"32,6%"
1h,DL,2.0,slope_strength,rest70,443,139,295,0.32027649769585254,32%
1h,DL,2.0,slope_strength,top30,191,64,124,0.3404255319148936,34%
1h,IB,1.0,slope_strength,ALL,274,119,155,0.4343065693430657,"43,4%"
1h,IB,1.0,slope_strength,rest70,191,82,109,0.4293193717277487,"42,9%"
1h,IB,1.0,slope_strength,top30,83,37,46,0.4457831325301205,"44,6%"
1h,IB,1.5,slope_strength,ALL,274,97,177,0.354014598540146,"35,4%"
1h,IB,1.5,slope_strength,rest70,191,68,123,0.35602094240837695,"35,6%"
1h,IB,1.5,slope_strength,top30,83,29,54,0.3493975903614458,"34,9%"
1h,IB,2.0,slope_strength,ALL,274,80,193,0.29304029304029305,"29,3%"
1h,IB,2.0,slope_strength,rest70,191,60,131,0.31413612565445026,"31,4%"
1h,IB,2.0,slope_strength,top30,83,20,62,0.24390243902439024,"24,4%"
1h,PFR,1.0,slope_strength,ALL,400,206,192,0.5175879396984925,"51,8%"
1h,PFR,1.0,slope_strength,rest70,280,143,135,0.5143884892086331,"51,4%"
1h,PFR,1.0,slope_strength,top30,120,63,57,0.525,"52,5%"
1h,PFR,1.5,slope_strength,ALL,400,159,233,0.40561224489795916,"40,6%"
1h,PFR,1.5,slope_strength,rest70,280,111,163,0.4051094890510949,"40,5%"
1h,PFR,1.5,slope_strength,top30,120,48,70,0.4067796610169492,"40,7%"
1h,PFR,2.0,slope_strength,ALL,400,133,257,0.34102564102564104,"34,1%"
1h,PFR,2.0,slope_strength,rest70,280,91,181,0.33455882352941174,"33,5%"
1h,PFR,2.0,slope_strength,top30,120,42,76,0.3559322033898305,"35,6%"
2h,DL,1.0,slope_strength,ALL,319,155,162,0.4889589905362776,"48,9%"
2h,DL,1.0,slope_strength,rest70,223,106,116,0.4774774774774775,"47,7%"
2h,DL,1.0,slope_strength,top30,96,49,46,0.5157894736842106,"51,6%"
2h,DL,1.5,slope_strength,ALL,319,125,188,0.3993610223642173,"39,9%"
2h,DL,1.5,slope_strength,rest70,223,85,134,0.3881278538812785,"38,8%"
2h,DL,1.5,slope_strength,top30,96,40,54,0.425531914893617,"42,6%"
2h,DL,2.0,slope_strength,ALL,319,103,206,0.3333333333333333,"33,3%"
2h,DL,2.0,slope_strength,rest70,223,73,144,0.33640552995391704,"33,6%"
2h,DL,2.0,slope_strength,top30,96,30,62,0.32608695652173914,"32,6%"
2h,IB,1.0,slope_strength,ALL,181,92,88,0.5111111111111111,"51,1%"
2h,IB,1.0,slope_strength,rest70,126,65,61,0.5158730158730159,"51,6%"
2h,IB,1.0,slope_strength,top30,55,27,27,0.5,50%
2h,IB,1.5,slope_strength,ALL,181,63,115,0.3539325842696629,"35,4%"
2h,IB,1.5,slope_strength,rest70,126,45,80,0.36,36%
2h,IB,1.5,slope_strength,top30,55,18,35,0.33962264150943394,34%
2h,IB,2.0,slope_strength,ALL,181,58,120,0.3258426966292135,"32,6%"
2h,IB,2.0,slope_strength,rest70,126,42,83,0.336,"33,6%"
2h,IB,2.0,slope_strength,top30,55,16,37,0.3018867924528302,"30,2%"
2h,PFR,1.0,slope_strength,ALL,205,106,97,0.5221674876847291,"52,2%"
2h,PFR,1.0,slope_strength,rest70,143,72,70,0.5070422535211268,"50,7%"
2h,PFR,1.0,slope_strength,top30,62,34,27,0.5573770491803278,"55,7%"
2h,PFR,1.5,slope_strength,ALL,205,88,111,0.44221105527638194,"44,2%"
2h,PFR,1.5,slope_strength,rest70,143,58,81,0.4172661870503597,"41,7%"
2h,PFR,1.5,slope_strength,top30,62,30,30,0.5,50%
2h,PFR,2.0,slope_strength,ALL,205,70,125,0.358974358974359,"35,9%"
2h,PFR,2.0,slope_strength,rest70,143,49,88,0.35766423357664234,"35,8%"
2h,PFR,2.0,slope_strength,top30,62,21,37,0.3620689655172414,"36,2%"
4h,DL,1.0,slope_strength,ALL,171,75,96,0.43859649122807015,"43,9%"
4h,DL,1.0,slope_strength,rest70,119,55,64,0.46218487394957986,"46,2%"
4h,DL,1.0,slope_strength,top30,52,20,32,0.38461538461538464,"38,5%"
4h,DL,1.5,slope_strength,ALL,171,60,109,0.35502958579881655,"35,5%"
4h,DL,1.5,slope_strength,rest70,119,44,74,0.3728813559322034,"37,3%"
4h,DL,1.5,slope_strength,top30,52,16,35,0.3137254901960784,"31,4%"
4h,DL,2.0,slope_strength,ALL,171,51,118,0.30177514792899407,"30,2%"
4h,DL,2.0,slope_strength,rest70,119,38,80,0.3220338983050847,"32,2%"
4h,DL,2.0,slope_strength,top30,52,13,38,0.2549019607843137,"25,5%"
4h,IB,1.0,slope_strength,ALL,96,39,57,0.40625,"40,6%"
4h,IB,1.0,slope_strength,rest70,67,29,38,0.43283582089552236,"43,3%"
4h,IB,1.0,slope_strength,top30,29,10,19,0.3448275862068966,"34,5%"
4h,IB,1.5,slope_strength,ALL,96,33,63,0.34375,"34,4%"
4h,IB,1.5,slope_strength,rest70,67,25,42,0.373134328358209,"37,3%"
4h,IB,1.5,slope_strength,top30,29,8,21,0.27586206896551724,"27,6%"
4h,IB,2.0,slope_strength,ALL,96,30,66,0.3125,"31,2%"
4h,IB,2.0,slope_strength,rest70,67,23,44,0.34328358208955223,"34,3%"
4h,IB,2.0,slope_strength,top30,29,7,22,0.2413793103448276,"24,1%"
4h,PFR,1.0,slope_strength,ALL,105,56,49,0.5333333333333333,"53,3%"
4h,PFR,1.0,slope_strength,rest70,73,45,28,0.6164383561643836,"61,6%"
4h,PFR,1.0,slope_strength,top30,32,11,21,0.34375,"34,4%"
4h,PFR,1.5,slope_strength,ALL,105,44,60,0.4230769230769231,"42,3%"
4h,PFR,1.5,slope_strength,rest70,73,36,36,0.5,50%
4h,PFR,1.5,slope_strength,top30,32,8,24,0.25,25%
4h,PFR,2.0,slope_strength,ALL,105,36,68,0.34615384615384615,"34,6%"
4h,PFR,2.0,slope_strength,rest70,73,30,42,0.4166666666666667,"41,7%"
4h,PFR,2.0,slope_strength,top30,32,6,26,0.1875,"18,8%"
