timeframe,setup,Trades,WR,AvgR
1h,8.2,21,0.2857142857142857,-0.19047619047619047
1h,8.3,44,0.3181818181818182,-0.045454545454545456
1h,DL,7,0.14285714285714285,-0.35714285714285715
1h,PFR,18,0.3888888888888889,0.19444444444444445
2h,8.2,7,0.2857142857142857,0.0
2h,8.3,31,0.3225806451612903,-0.0967741935483871
2h,DL,4,0.25,-0.375
2h,PFR,7,0.42857142857142855,0.07142857142857142
4h,8.2,3,0.3333333333333333,-0.16666666666666666
4h,8.3,6,0.6666666666666666,0.6666666666666666
4h,DL,1,1.0,1.5
4h,PFR,4,0.75,0.875
