Config,dist_sma8_max,dist_sma80_max,sma_gap_min,Train Trades,Train WR,Train AvgR
htf0_tx0_be1,0.01,0.02,0.0,58,0.3620689655172414,0.02586206896551724
htf0_tx0_be1,0.01,0.02,0.005,34,0.4117647058823529,0.11764705882352941
htf0_tx0_be1,0.01,0.02,0.01,24,0.3333333333333333,-0.041666666666666664
htf0_tx0_be1,0.01,0.03,0.0,93,0.3548387096774194,-0.03763440860215054
htf0_tx0_be1,0.01,0.03,0.005,69,0.37681159420289856,-0.014492753623188406
htf0_tx0_be1,0.01,0.03,0.01,59,0.3389830508474576,-0.1016949152542373
htf0_tx0_be1,0.01,0.05,0.0,142,0.3028169014084507,-0.17253521126760563
htf0_tx0_be1,0.01,0.05,0.005,118,0.3050847457627119,-0.1864406779661017
htf0_tx0_be1,0.01,0.05,0.01,108,0.2777777777777778,-0.25
htf0_tx0_be1,0.02,0.02,0.0,63,0.36507936507936506,0.05555555555555555
htf0_tx0_be1,0.02,0.02,0.005,35,0.4,0.11428571428571428
htf0_tx0_be1,0.02,0.02,0.01,24,0.3333333333333333,-0.041666666666666664
htf0_tx0_be1,0.02,0.03,0.0,118,0.3050847457627119,-0.1440677966101695
htf0_tx0_be1,0.02,0.03,0.005,90,0.3,-0.18333333333333332
htf0_tx0_be1,0.02,0.03,0.01,77,0.2727272727272727,-0.2532467532467532
htf0_tx0_be1,0.02,0.05,0.0,194,0.25257731958762886,-0.2654639175257732
htf0_tx0_be1,0.02,0.05,0.005,166,0.24096385542168675,-0.3072289156626506
htf0_tx0_be1,0.02,0.05,0.01,153,0.2222222222222222,-0.35294117647058826
htf0_tx0_be1,0.03,0.02,0.0,63,0.36507936507936506,0.05555555555555555
htf0_tx0_be1,0.03,0.02,0.005,35,0.4,0.11428571428571428
htf0_tx0_be1,0.03,0.02,0.01,24,0.3333333333333333,-0.041666666666666664
htf0_tx0_be1,0.03,0.03,0.0,119,0.3025210084033613,-0.15126050420168066
htf0_tx0_be1,0.03,0.03,0.005,91,0.2967032967032967,-0.19230769230769232
htf0_tx0_be1,0.03,0.03,0.01,77,0.2727272727272727,-0.2532467532467532
htf0_tx0_be1,0.03,0.05,0.0,200,0.255,-0.2625
htf0_tx0_be1,0.03,0.05,0.005,172,0.2441860465116279,-0.3023255813953488
htf0_tx0_be1,0.03,0.05,0.01,157,0.2229299363057325,-0.3535031847133758
htf0_tx1_be1,0.01,0.02,0.0,58,0.3620689655172414,0.02586206896551724
htf0_tx1_be1,0.01,0.02,0.005,34,0.4117647058823529,0.11764705882352941
htf0_tx1_be1,0.01,0.02,0.01,24,0.3333333333333333,-0.041666666666666664
htf0_tx1_be1,0.01,0.03,0.0,93,0.3548387096774194,-0.03763440860215054
htf0_tx1_be1,0.01,0.03,0.005,69,0.37681159420289856,-0.014492753623188406
htf0_tx1_be1,0.01,0.03,0.01,59,0.3389830508474576,-0.1016949152542373
htf0_tx1_be1,0.01,0.05,0.0,142,0.3028169014084507,-0.17253521126760563
htf0_tx1_be1,0.01,0.05,0.005,118,0.3050847457627119,-0.1864406779661017
htf0_tx1_be1,0.01,0.05,0.01,108,0.2777777777777778,-0.25
htf0_tx1_be1,0.02,0.02,0.0,63,0.36507936507936506,0.05555555555555555
htf0_tx1_be1,0.02,0.02,0.005,35,0.4,0.11428571428571428
htf0_tx1_be1,0.02,0.02,0.01,24,0.3333333333333333,-0.041666666666666664
htf0_tx1_be1,0.02,0.03,0.0,118,0.3050847457627119,-0.1440677966101695
htf0_tx1_be1,0.02,0.03,0.005,90,0.3,-0.18333333333333332
htf0_tx1_be1,0.02,0.03,0.01,77,0.2727272727272727,-0.2532467532467532
htf0_tx1_be1,0.02,0.05,0.0,194,0.25257731958762886,-0.2654639175257732
htf0_tx1_be1,0.02,0.05,0.005,166,0.24096385542168675,-0.3072289156626506
htf0_tx1_be1,0.02,0.05,0.01,153,0.2222222222222222,-0.35294117647058826
htf0_tx1_be1,0.03,0.02,0.0,63,0.36507936507936506,0.05555555555555555
htf0_tx1_be1,0.03,0.02,0.005,35,0.4,0.11428571428571428
htf0_tx1_be1,0.03,0.02,0.01,24,0.3333333333333333,-0.041666666666666664
htf0_tx1_be1,0.03,0.03,0.0,119,0.3025210084033613,-0.15126050420168066
htf0_tx1_be1,0.03,0.03,0.005,91,0.2967032967032967,-0.19230769230769232
htf0_tx1_be1,0.03,0.03,0.01,77,0.2727272727272727,-0.2532467532467532
htf0_tx1_be1,0.03,0.05,0.0,200,0.255,-0.2625
htf0_tx1_be1,0.03,0.05,0.005,172,0.2441860465116279,-0.3023255813953488
htf0_tx1_be1,0.03,0.05,0.01,157,0.2229299363057325,-0.3535031847133758
